time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447950000	20.2668	11.5882	4.71621	1.51248	0.553539	radar	10.6523	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3366	11.8305	4.73815	1.51847	0.530468	lidar	4.74681	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3606	12.068	4.82365	1.5261	0.494018	radar	3.70568	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3435	12.3671	4.94008	1.56755	0.512303	lidar	1.11343	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2965	12.5993	4.83044	1.62285	0.561587	radar	3.28832	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3221	12.8364	4.81963	1.63459	0.544272	lidar	1.83289	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3126	13.0619	4.77846	1.65884	0.543399	radar	2.07054	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2793	13.2702	4.72036	1.68725	0.544462	lidar	0.942491	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2422	13.5029	4.73666	1.7134	0.538841	radar	1.29995	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2177	13.7694	4.80062	1.73715	0.535756	lidar	1.38455	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1652	13.9915	4.75328	1.77191	0.550427	radar	0.836604	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1058	14.2546	4.8205	1.80345	0.554953	lidar	0.421527	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0348	14.4822	4.81682	1.83499	0.557864	radar	1.38014	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9212	14.7468	4.90828	1.88071	0.576875	lidar	1.2373	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8552	14.9627	4.89016	1.89794	0.554818	radar	3.36646	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8284	15.1739	4.81786	1.90584	0.53402	lidar	2.134	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7029	15.3756	4.70494	1.97719	0.618351	radar	7.92415	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6805	15.5523	4.57549	1.98303	0.591956	lidar	3.16798	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5932	15.7492	4.55318	2.0083	0.584225	radar	1.22951	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4841	15.9704	4.59399	2.0397	0.586589	lidar	0.106019	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
